Business Name,Address,Phone,Justdial Phone,URL,Business Category,Business Verified,Rating,Vote
Dr Sri Ram Psychological Center,Jadagam Vari Street Suryarao Pet Vijayawada65 km,09490823660,07383516952,https://www.justdial.com/Vijayawada/Dr-Sri-Ram-Psychological-Center-Opposite-Vijaya-Super-Speciality-Hospital-Suryarao-Pet/0866PX866-X866-140225134652-X2Q6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,5.0,1500 Rating
Manipal Super Speciality Hospital,NH 5 Tadepalli Vijayawada79 kmWell connected 4 Suggestions,,07383024348,https://www.justdial.com/Vijayawada/Manipal-Super-Speciality-Hospital-Near-Kanakadurga-Varadhi-Saumya-Nagar-Tadepalli/0866PX866-X866-130701163402-Y2X6_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For Couples,Yes,4.6,7087 Rating
Asha Neuromodulation Clinic,Nagarjuna Hospital Ntr Marg Vijayawada51 km,,08050807462,https://www.justdial.com/Vijayawada/Asha-Neuromodulation-Clinic-Near-Mana-Kalyana-Vedika-Endowments-Colony-Chalasani-Nagar-Ntr-Marg/0866PX866-X866-230519064402-R3C3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,Yes,4.7,24 Ratings
Dr Indlas Vimhans Hospitals,V V Rao Street Suryarao Pet Vijayawada5 km,,08401325620,https://www.justdial.com/Vijayawada/Dr-Indlas-Vimhans-Hospitals-Near-Devi-Oil-Mill-Suryarao-Pet/0866PX866-X866-190221132145-H3Q3_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychologist,,4.9,1264 Rating
Anil Neuro  Trauma Centre,Chuttugunta Centre Eluru Road Vijayawada62 km,,07383428517,https://www.justdial.com/Vijayawada/Anil-Neuro-Trauma-Centre-Near-BSNL-Building-Chuttugunta-Signals-Eluru-Road/0866PX866-X866-190204152550-L8W8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,Yes,4.7,1355 Rating
Khushi Mind Care  Psychiatry Hospital and Counseling Centre,Devi Oil Mill Road Suryarao Pet Vijayawada67 km,09490148433,07947107129,https://www.justdial.com/Vijayawada/Khushi-Mind-Care-Psychiatry-Hospital-and-Counseling-Centre-Near-Yalamanchi-Diabetics-Hopsital-Suryarao-Pet/0866PX866-X866-171221001046-C9M9_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,4.8,132 Ratings
Vennela Psychiatric Clinic,Nakkal Road Suryarao Pet Vijayawada69 km,,09731861724,https://www.justdial.com/Vijayawada/Vennela-Psychiatric-Clinic-Opp-Central-Bank-Of-India-Suryarao-Pet/0866PX866-X866-100821202511-U3F4_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Psychotherapy For CouplesChild Psychological Diagnosis,,4.3,13 Ratings
Neha Counselling And Psychotherapy Center,Maruthi Nagar Vijayawada56 km,,08401292182,https://www.justdial.com/Vijayawada/Neha-Counselling-And-Psychotherapy-Center-Near-Maruthi-Nagar-Bus-Stop-Beside-Chaitanya-Techno-School-Maruthi-Nagar/0866PX866-X866-141024111534-K2E2_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Adult CounselingPsychology Consultation,Yes,4.8,786 Ratings
Pavan Neuropsychiatric Clinic,Prakasam Road Suryarao Pet Vijayawada63 km,,08401310715,https://www.justdial.com/Vijayawada/Pavan-Neuropsychiatric-Clinic-Near-Puspha-Hotel-Center-Beside-Krishna-Gastro-Hospital-Suryarao-Pet/0866PX866-X866-171218200238-H1L8_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,,3.5,10 Ratings
Master Homoeocare,NTR Marg Kanuru Vijayawada11 km,,08904949962,https://www.justdial.com/Vijayawada/Master-Homoeocare-Opposite-Pinnamaneni-Teachers-Colony-Kanuru/0866PX866-X866-221109113425-B8L5_BZDET?trkid=&term=&ncatid=10941606&area=&search=Best Psychologist Doctors in Vijayawada - Book Appointment Online&mncatname=Psychologist Doctors&abd_btn=&abd_heading=&bd=1&,Child Psychological Diagnosis,Yes,4.9,35 Ratings
